appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
660110,DepthMera,David Sofer,RedLightBoxGames,,4,1,0,"0 .. 20,000",0,0,0,0,599,599,0,0
686110,Robot Heroes,Heroes Productions,Heroes Productions,,55,12,0,"0 .. 20,000",0,0,0,0,99,99,0,0
682020,Karradash - The Lost Dungeons,68k Studios,68k Studios,,10,3,0,"0 .. 20,000",0,0,0,0,399,399,0,0
672050,Super Mr. Kake,Five entertainment,Back To Basics Gaming,,5,14,0,"0 .. 20,000",0,0,0,0,199,199,0,0
707470,JumpFist,BoomCat Studios,BoomCat Studios,,2,1,0,"0 .. 20,000",0,0,0,0,99,99,0,0
636330,The God Paradox,"Tristan Begin, Caleb Klomparens",Tristan Begin,,21,14,0,"0 .. 20,000",0,0,0,0,499,499,0,0
696560,Bouncing Duck Simulator,"EYEJAM STUDIOS, Damien Sueur",EYEJAM STUDIOS,,107,14,0,"0 .. 20,000",0,0,0,0,499,499,0,0
712760,Duped,Reuben Moorhouse,No Moss Studios,,5,0,0,"0 .. 20,000",0,0,0,0,399,399,0,0
658630,Anonymous ME,RKTime,Chengdu longyuan Network Technology Co.Ltd,,157,138,0,"0 .. 20,000",0,0,0,0,299,299,0,0
665120,Jetman Go,Linkflag Studio,Linkflag Studio,,141,35,0,"0 .. 20,000",18,0,18,0,199,199,0,0
